ALOS3;ALLOS;ON      NM;502.481.592;0,524;
ALPA4;ALPARGATAS;PN      N1;166.460.180;0,054;
ABEV3;AMBEV S/A;ON;4.394.835.131;2,641;
ASAI3;ASSAI;ON      NM;1.349.687.675;0,453;
AURE3;AUREN;ON      NM;291.727.616;0,138;
AZUL4;AZUL;PN      N2;328.421.113;0,083;
AZZA3;AZZAS 2154;ON      NM;127.330.493;0,255;
B3SA3;B3;ON      NM;5.511.401.013;2,691;
BBSE3;BBSEGURIDADE;ON      NM;637.332.335;1,012;
BBDC3;BRADESCO;ON      N1;1.484.426.957;0,848;
BBDC4;BRADESCO;PN      N1;5.129.958.973;3,299;
BRAP4;BRADESPAR;PN  EJ  N1;250.969.312;0,210;
BBAS3;BRASIL;ON      NM;2.842.613.858;3,428;
BRKM5;BRASKEM;PNA     N1;265.388.400;0,189;
BRAV3;BRAVA;ON      NM;463.981.130;0,367;
BRFS3;BRF SA;ON      NM;814.523.002;0,966;
BPAC11;BTGP BANCO;UNT     N2;1.287.247.964;2,090;
CXSE3;CAIXA SEGURI;ON      NM;517.500.000;0,346;
CRFB3;CARREFOUR BR;ON      NM;531.901.983;0,167;
CCRO3;CCR SA;ON  ED  NM;991.920.937;0,562;
CMIG4;CEMIG;PN      N1;1.858.636.840;1,068;
COGN3;COGNA ON;ON      NM;1.872.454.628;0,120;
CPLE6;COPEL;PNB     N2;1.679.233.590;0,766;
CSAN3;COSAN;ON      NM;1.165.337.843;0,626;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,289;
CMIN3;CSNMINERACAO;ON      N2;1.110.559.345;0,279;
CVCB3;CVC BRASIL;ON      NM;525.591.097;0,057;
CYRE3;CYRELA REALT;ON      NM;264.710.610;0,267;
ELET3;ELETROBRAS;ON      N1;1.780.013.881;3,019;
ELET6;ELETROBRAS;PNB     N1;268.733.136;0,518;
EMBR3;EMBRAER;ON      NM;734.632.601;1,935;
ENGI11;ENERGISA;UNT     N2;326.175.300;0,648;
ENEV3;ENEVA;ON      NM;1.808.392.799;1,032;
EGIE3;ENGIE BRASIL;ON      NM;255.236.938;0,478;
EQTL3;EQUATORIAL;ON      NM;1.244.602.400;1,933;
EZTC3;EZTEC;ON  ED  NM;97.334.950;0,067;
FLRY3;FLEURY;ON      NM;464.420.650;0,304;
GGBR4;GERDAU;PN      N1;1.242.683.687;1,183;
GOAU4;GERDAU MET;PN      N1;661.577.619;0,348;
NTCO3;GRUPO NATURA;ON  ATZ NM;849.350.756;0,581;
HAPV3;HAPVIDA;ON      NM;4.779.395.040;0,720;
HYPE3;HYPERA;ON      NM;409.310.634;0,401;
IGTI11;IGUATEMI S.A;UNT     N1;211.468.849;0,203;
IRBR3;IRBBRASIL RE;ON      NM;81.838.243;0,156;
ISAE4;ISA ENERGIA;PN      N1;395.801.044;0,455;
ITSA4;ITAUSA;PN      N1;5.504.638.590;2,727;
ITUB4;ITAUUNIBANCO;PN      N1;4.455.161.368;7,290;
JBSS3;JBS;ON      NM;1.142.696.472;1,912;
KLBN11;KLABIN S/A;UNT EJ  N2;765.785.673;0,747;
RENT3;LOCALIZA;ON      NM;977.700.485;2,079;
LREN3;LOJAS RENNER;ON      NM;952.487.418;0,747;
LWSA3;LWSA;ON  ED  NM;420.626.825;0,084;
MGLU3;MAGAZ LUIZA;ON      NM;353.448.195;0,151;
MRFG3;MARFRIG;ON      NM;302.019.876;0,243;
BEEF3;MINERVA;ON      NM;261.359.935;0,071;
MRVE3;MRV;ON      NM;375.335.828;0,115;
MULT3;MULTIPLAN;ON      N2;318.010.631;0,388;
PCAR3;P.ACUCAR-CBD;ON  ATZ NM;379.327.171;0,050;
PETR3;PETROBRAS;ON      N2;2.448.348.744;4,715;
PETR4;PETROBRAS;PN      N2;4.431.132.660;7,851;
RECV3;PETRORECSA;ON  ED  NM;275.699.226;0,218;
PRIO3;PETRORIO;ON      NM;798.909.771;1,508;
PETZ3;PETZ;ON  ED  NM;307.729.428;0,063;
RADL3;RAIADROGASIL;ON      NM;1.279.770.315;1,547;
RAIZ4;RAIZEN;PN      N2;1.192.947.233;0,137;
RDOR3;REDE D OR;ON      NM;1.145.289.019;1,606;
RAIL3;RUMO S.A.;ON      NM;1.215.994.115;1,162;
SBSP3;SABESP;ON      NM;683.508.570;3,129;
SANB11;SANTANDER BR;UNT;356.586.730;0,435;
STBP3;SANTOS BRP;ON      NM;855.712.622;0,522;
SMTO3;SAO MARTINHO;ON      NM;142.348.116;0,168;
CSNA3;SID NACIONAL;ON;736.268.400;0,372;
SLCE3;SLC AGRICOLA;ON      NM;194.261.422;0,157;
SUZB3;SUZANO S.A.;ON      NM;630.821.784;1,816;
TAEE11;TAESA;UNT EDJ N2;218.568.234;0,350;
VIVT3;TELEF BRASIL;ON;407.257.128;0,999;
TIMS3;TIM;ON      NM;807.495.418;0,633;
TOTS3;TOTVS;ON      NM;540.206.440;0,770;
UGPA3;ULTRAPAR;ON      NM;1.090.134.379;1,000;
USIM5;USIMINAS;PNA     N1;515.193.199;0,149;
VALE3;VALE;ON      NM;4.270.903.023;11,540;
VAMO3;VAMOS;ON      NM;485.166.826;0,128;
VBBR3;VIBRA;ON      NM;1.023.392.529;1,081;
VIVA3;VIVARA S.A.;ON      NM;125.823.025;0,144;
WEGE3;WEG;ON      NM;1.269.032.828;3,279;
YDUQ3;YDUQS PART;ON      NM;290.010.465;0,141;
